match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes,hub_dependence,cohesion_optimized
122868,1. FC Union Berlin,VfL Wolfsburg,1,2,loss,0,0.4681608136757173,0.2870869465694156,0.7080610021786492,0.5385348583877996,0.3389604475670049,16,122,0.5083333333333333,0.2931292517006803,Alex Král,23,600,0.4614651416122004,0.42367453982790065
122868,VfL Wolfsburg,1. FC Union Berlin,2,1,win,3,0.4946764561480557,0.27647441119353,1.0,0.5649181547619048,0.137313258636788,16,102,0.425,0.1790079365079365,Koen Casteels,10,478,0.43508184523809523,0.4672308082461581
122869,1. FSV Mainz 05,VfB Stuttgart,1,3,loss,0,0.5925069264533219,0.3054443724799543,0.954861111111111,0.6486111111111111,0.4611111111111111,15,105,0.5,0.1604722658294086,Ludovic Ajorque,20,431,0.35138888888888886,0.4902569084621994
122869,VfB Stuttgart,1. FSV Mainz 05,3,1,win,3,0.5685924322666127,0.3495125137680591,1.0,0.6407781407781408,0.284079074520251,14,102,0.5604395604395604,0.3392094017094016,Serhou Guirassy,16,630,0.35922185922185923,0.5070474432193335
122870,TSG 1899 Hoffenheim,1. FC Köln,3,1,win,3,0.5621334757893053,0.289892075277275,0.949367088607595,0.7246835443037974,0.2845911949685534,16,106,0.4416666666666666,0.2995238095238095,Pavel Kaderabek,12,385,0.27531645569620256,0.4520443976418219
122870,1. FC Köln,TSG 1899 Hoffenheim,1,3,loss,0,0.6110413969772222,0.3660560889009524,1.0,0.7170138888888888,0.3610956101190476,16,128,0.5333333333333333,0.3805555555555555,Davie Selke,22,500,0.28298611111111116,0.5115855221290476
122871,VfL Bochum,Eintracht Frankfurt,1,1,draw,1,0.5796876121196558,0.3652794751168158,0.9070121951219512,0.6760670731707317,0.3703917050691244,16,124,0.5166666666666667,0.1727097505668934,Philipp Förster,25,504,0.32393292682926833,0.4950218958701984
122871,Eintracht Frankfurt,VfL Bochum,1,1,draw,1,0.5093556034186831,0.3384352136561649,0.8832335329341318,0.6723428143712575,0.1434108527131783,16,129,0.5375,0.1451443397871969,Farès Chaïbi,8,542,0.32765718562874246,0.4535156531772446
122872,SV Werder Bremen,1. FC Heidenheim 1846,2,4,loss,0,0.5173284927327358,0.3413277438989148,0.7800982800982802,0.703931203931204,0.2439567430025445,16,131,0.5458333333333333,0.2052380952380952,Nick Woltemade,13,562,0.296068796068796,0.43449443568460133
122872,1. FC Heidenheim 1846,SV Werder Bremen,4,2,win,3,0.5085489813289802,0.2747217189667142,0.763888888888889,0.6812996031746033,0.3142857142857143,16,105,0.4375,0.1567006802721088,Jonas Föhrenbach,15,393,0.31870039682539675,0.4075667126579603
122873,Borussia Mönchengladbach,SV Darmstadt 98,3,3,draw,1,0.5292784920151438,0.3610180164223441,0.7481060606060607,0.6603929924242424,0.347596898607928,16,136,0.5666666666666667,0.3239229024943311,Rocco Reitz,32,615,0.33960700757575757,0.4532362643598437
122873,SV Darmstadt 98,Borussia Mönchengladbach,3,3,draw,1,0.5725343995456109,0.2630733607520991,1.0,0.62939453125,0.3976697061803446,16,94,0.3916666666666666,0.1521088435374149,Marcel Schuhen,18,370,0.37060546875,0.476894471306584
122874,SV Darmstadt 98,VfB Stuttgart,0,3,loss,0,0.5354202818580873,0.3319849790099978,1.0,0.6282445355191257,0.1814516129032258,16,124,0.5166666666666667,0.2213756613756614,Fabian Schnellhardt,5,501,0.37175546448087426,0.4899009704674526
122874,VfB Stuttgart,SV Darmstadt 98,3,0,win,3,0.5798991760970644,0.3275400315531426,1.0,0.5802223154362416,0.4118343573988735,16,124,0.5166666666666667,0.2108730158730158,Chris Führich,30,687,0.4197776845637584,0.5179201042010224
122875,FC Bayern München,VfL Bochum,7,0,win,3,0.5817369887146671,0.3560347034709641,1.0,0.6737012987012987,0.2972119526864052,16,137,0.5708333333333333,0.2323015873015873,Dayot Upamecano,35,622,0.3262987012987013,0.5066833521989278
122875,VfL Bochum,FC Bayern München,0,7,loss,0,0.3570186961291808,0.3094054104125662,0.4212454212454213,0.6213369963369964,0.0760869565217391,16,115,0.4791666666666667,0.1108390022675737,Manuel Riemann,3,388,0.37866300366300365,0.3244222067192629
122876,Borussia Dortmund,VfL Wolfsburg,1,0,win,3,0.5227916541408699,0.342661015142098,0.9005376344086022,0.6024065540194572,0.245561412993322,14,108,0.5934065934065934,0.2696581196581196,Felix Nmecha,21,674,0.3975934459805428,0.48066007436961317
