team_name,player_name,avg_impact,avg_impact_pct,avg_passes,avg_betweenness,matches_played
Eintracht Frankfurt,Makoto Hasebe,-0.016647806288903215,-1.6647806288903213,22.142857142857142,0.052714256642828076,7
Eintracht Frankfurt,Hrvoje Smolcic,-0.01921347460348255,-1.921347460348255,27.1,0.007719823826966685,10
FC Augsburg,Jeffrey Gouweleeuw,0.014602015506596,1.4602015506596,36.266666666666666,0.0511052301890214,30
FC Augsburg,Elvis Rexhbecaj,0.013701253987698751,1.3701253987698752,21.0,0.10371741063169634,25
FC Augsburg,Felix Uduokhai,0.009720480191227936,0.9720480191227936,40.121212121212125,0.06265992683824852,33
FC Augsburg,Kristijan Jakic,0.009001644984000856,0.9001644984000856,27.714285714285715,0.08275393918251062,14
FC Augsburg,Kevin Mbabu,0.00877603521697968,0.8776035216979681,23.16,0.10948842295270866,25
FC Augsburg,Niklas Dorsch,0.008221351851639197,0.8221351851639197,25.285714285714285,0.07800729001409275,21
FC Augsburg,Iago,0.007881764548841713,0.7881764548841713,21.956521739130434,0.09264613061196912,23
FC Augsburg,Arne Maier,0.003605111938503124,0.3605111938503124,19.904761904761905,0.06547826587138467,21
FC Augsburg,Maximilian Bauer,0.002879117213760338,0.2879117213760337,32.07692307692308,0.05401061392819635,13
FC Augsburg,Mads Pedersen,0.0005625942380554628,0.05625942380554628,23.185185185185187,0.05957025281506357,27
FC Augsburg,Ermedin Demirovic,-0.00031859074433237763,-0.031859074433237766,10.818181818181818,0.11989260797785607,33
FC Augsburg,Finn Dahmen,-0.002222382713906387,-0.22223827139063868,27.193548387096776,0.06387933137667275,31
FC Augsburg,Rubén Vargas,-0.0025491367483405384,-0.25491367483405386,14.225806451612904,0.0686783953373815,31
FC Augsburg,Patric Pfeiffer,-0.003030699558153645,-0.3030699558153645,16.90909090909091,0.05465917680203396,11
FC Augsburg,Fredrik Jensen,-0.0060923699666572,-0.60923699666572,11.909090909090908,0.05526393820224989,22
FC Augsburg,Phillip Tietz,-0.006280025527346669,-0.6280025527346669,9.264705882352942,0.06955372654710082,34
FC Augsburg,Tim Breithaupt,-0.00791402771335675,-0.7914027713356748,15.0,0.04645903719804819,15
FC Augsburg,Arne Engels,-0.008364444067094974,-0.8364444067094974,11.9375,0.06077096219180698,32
FC Augsburg,Pep Biel,-0.012222315026912824,-1.2222315026912824,8.272727272727273,0.0678517057737837,11
FC Augsburg,Dion Beljo,-0.014809297073597856,-1.4809297073597856,4.44,0.06141484970056399,25
FC Augsburg,Sven Michel,-0.01597913927588731,-1.597913927588731,4.181818181818182,0.04918646168646169,22
FC Augsburg,Robert Gumny,-0.020729826538344456,-2.072982653834446,10.0,0.049984331907408835,13
FC Bayern München,Joshua Kimmich,0.0028757444350598705,0.2875744435059871,65.71428571428571,0.047658347887939725,28
FC Bayern München,Leon Goretzka,0.0007033005303330286,0.07033005303330286,50.333333333333336,0.06319070744070744,30
FC Bayern München,Dayot Upamecano,0.0006926215301989602,0.06926215301989602,64.84,0.04941166558309416,25
FC Bayern München,Noussair Mazraoui,-0.0001343712618303163,-0.013437126183031629,44.73684210526316,0.0621274444018805,19
FC Bayern München,Aleksandar Pavlovic,-0.0009434807331422393,-0.09434807331422394,46.21052631578947,0.06208848169374485,19
FC Bayern München,Min-jae Kim,-0.0015966582376383265,-0.15966582376383265,77.12,0.03869827685541972,25
FC Bayern München,Sven Ulreich,-0.00255383611425387,-0.255383611425387,25.727272727272727,0.10410339660339661,11
