match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes
122855,FC Augsburg,FC Bayern München,1,2,loss,0,0.4857071216088785,0.2542470741408664,0.7573529411764706,0.5483455882352941,0.38288288288288286,16,111,0.4625,0.1425321239606954,Finn Dahmen,12,448
122856,1. FC Heidenheim 1846,Borussia Dortmund,2,2,draw,1,0.5309853277936296,0.2891680572850779,1.0,0.6830188679245284,0.15175438596491228,15,95,0.4523809523809524,0.24276556776556782,Norman Theuerkauf,10,354
122856,Borussia Dortmund,1. FC Heidenheim 1846,2,2,draw,1,0.5643240296771017,0.36615876299061734,1.0,0.6337386018237082,0.257398753894081,14,107,0.5879120879120879,0.2471153846153846,Karim Adeyemi,22,533
122857,SV Darmstadt 98,Bayer 04 Leverkusen,1,5,loss,0,0.5167823564135208,0.2878605427368388,0.8705357142857142,0.6579241071428572,0.2508090614886731,16,103,0.42916666666666664,0.21719198790627364,Fabian Holland,10,336
122857,Bayer 04 Leverkusen,SV Darmstadt 98,5,1,win,3,0.5608015572495599,0.37429474829322334,0.9664429530201342,0.6404362416107383,0.2620322860741441,16,149,0.6208333333333333,0.20547619047619048,Josip Stanisic,40,824
122858,TSG 1899 Hoffenheim,VfL Wolfsburg,3,1,win,3,0.5348958855931378,0.37517595606135945,0.8396226415094339,0.7188679245283018,0.20591702027345593,14,101,0.554945054945055,0.16997863247863246,Oliver Baumann,12,388
122858,VfL Wolfsburg,TSG 1899 Hoffenheim,1,3,loss,0,0.5507772238213259,0.3269911742427706,1.0,0.6335470085470085,0.2425707124955245,16,133,0.5541666666666667,0.16147392290249432,Amin Sarr,16,588
122859,1. FSV Mainz 05,SV Werder Bremen,0,4,loss,0,0.529040051178617,0.37179218238591943,0.891812865497076,0.7092470760233918,0.1433080808080808,16,132,0.55,0.22481103552532128,Leandro Barreiro,12,520
122859,SV Werder Bremen,1. FSV Mainz 05,4,0,win,3,0.6011363723377363,0.27084849288451424,1.0,0.6424469964664311,0.49124999999999996,16,100,0.4166666666666667,0.3166439909297052,Marco Friedl,17,450
122860,FC Augsburg,VfL Bochum,2,2,draw,1,0.6186936252238321,0.31122117712679664,0.9878048780487805,0.680650406504065,0.49509803921568624,15,85,0.40476190476190477,0.27454212454212457,Maximilian Bauer,14,367
122860,VfL Bochum,FC Augsburg,2,2,draw,1,0.5348521288400346,0.30555228996925937,0.9864864864864865,0.598018018018018,0.24935172088637436,15,101,0.48095238095238096,0.2639194139194139,Maximilian Wittek,15,541
122861,SC Freiburg,VfB Stuttgart,0,5,loss,0,0.5109690246776645,0.34051323182477317,0.8245798319327731,0.6360294117647058,0.24275362318840576,16,138,0.575,0.18820199641628216,Maximilian Philipp,15,585
122861,VfB Stuttgart,SC Freiburg,5,0,win,3,0.5441228912254649,0.31913051197629017,1.0,0.5933441558441559,0.26401689708141324,16,124,0.5166666666666667,0.22037037037037044,Enzo Millot,23,549
122862,FC Bayern München,Borussia Mönchengladbach,2,1,win,3,0.5622783383291162,0.33210454398343675,1.0,0.5915625,0.3254463093330281,16,128,0.5333333333333333,0.2613718820861678,Harry Kane,27,729
122862,Borussia Mönchengladbach,FC Bayern München,1,2,loss,0,0.5502145110003475,0.2531371153521525,1.0,0.6514246323529411,0.2962962962962963,16,99,0.4125,0.16658730158730156,Florian Neuhaus,11,403
122863,1. FC Köln,Eintracht Frankfurt,1,1,draw,1,0.5209944138660516,0.3178217266689508,1.0,0.640787197231834,0.12536873156342182,16,113,0.4708333333333333,0.17032501889644747,Marvin Schwäbe,4,437
122863,Eintracht Frankfurt,1. FC Köln,1,1,draw,1,0.5258631091509026,0.3143904758608586,0.963020030816641,0.5944722650231125,0.23156966490299824,16,135,0.5625,0.3243877551020408,Mario Götze,18,789
122864,1. FC Union Berlin,RasenBallsport Leipzig,0,3,loss,0,0.5018877491677736,0.311003685709885,1.0,0.6578875171467764,0.03865979381443299,15,97,0.46190476190476193,0.20934065934065937,Diogo Leite,3,379
